image_file,category,signal_source,reason,caption_or_ocr_excerpt
480980331_945963670987956_3327831250964251860_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,Emerging Player of the Year 2024 - Bloomfield CC - Sanka Silva #MCAPremierDivisionLeague2024
480982857_945963630987960_3024169122859351942_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,Best Bowler of the Year 2024 - Bloomfield All Stars - Anil Dasanayake  #MCARecreationalLeague2024
480983078_943409094576747_2938379720333688804_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,© ~ = OFILE wy ” LAYER PRI aoe (Oo We SHAN ~~ (a2 JAYAMAHA ee hae : eA =p (V0) A LD 3 BLOOMFIELD KNIGHTS —_ @. 7) RIGHT ARM FAST MEDIUM oe >R0YD Sone — A s pup
480985491_943411257909864_1886953827325837028_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,Y= LIONS NG BLOOMFIELD OF THE MATCH 6.0-0-29-6
481003539_943409004576756_3350375673977119640_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,©) o> S puaverProrite Penn am (rm CHINTHAKA yp WIJAYASINGHE NN . Je = NY Near 2 BLOOMFIELD CC ae ee a LEFT ARM ORTHODOX Pen FE at aie »
481005672_943416084576048_4450477362697897566_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"👏 Gritty Performance by Ishara Lekamge! 👏  With wickets tumbling at the other end, Ishara held the innings together till the very end. Great job and keep it up! 🏏💪"
481019019_943411531243170_5566246247411044525_n.1.jpg,03_cricket_team_and_tournament_announcements,caption,Matched team/squad announcement keywords.,"Meet the power-packed squad of 2024! 🏏 Presenting the formidable lineup of Bloomfield Cricket Club, ready to conquer the field with skill, determination, and team spirit. Let's make this season one to remember! 💪🏼🏆  . ."
481019019_943411531243170_5566246247411044525_n.jpg,03_cricket_team_and_tournament_announcements,ocr,Manual visual override after contact-sheet review.,be “gf MS Reta Cee es Se ae gi he Ee a ae en Ro co BO pe ee Bo eS phe GER \ Me Pasi pee es ae a ee ei oe g ae ¥ eae ae 454 Aye SA ANG ap eee a : ate : : Ca) Cg Ye pf | A see Pk ae oe: e = Z - f zs ¥ : A AOR PA And ¥ Rin
481019526_944339514483705_3099669117424741792_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏 Match 9 Summary:  Tough day at the office for Bloomfield in MCA Premier Division Match 9. Despite our spinners Hirusha, Pubudu, Chinthaka and Sanka putting in a solid shift to keep the Royal Kings to a chasable total,"
481035103_944025794515077_3312558143992544353_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,"🏏 Star Performer Alert! 🌟  Prageeth Wasala set the stage brilliantly with his superb opening bowling spell, kickstarting another victory for Bloomfield and marking our 4th consecutive win! 🏅"
481043338_945963647654625_2613039626953626522_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,Best Batsman of the Year 2024 - Bloomfield Knights - Ishara Lekamge  #MCADivision2League2024
481045027_945963664321290_2257127817546859640_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,Most Valuable Player of the Year 2024 - Bloomfield Knights - Shehan Senarath  #MCADivision2League2024
481052936_945963757654614_4064524359833532826_n.jpg,02_cricket_player_profiles_and_awards,ocr,Matched player-profile or cricket award keywords.,BLOOMFIELD KNIGHTS G) Nene Best Bowler MCA League Division 2 - 2024 ro gS MATCHES WICKETS ECONOMY AVERAGE OVERS Se G a RUNS MAIDENS BEST 7 es ee SOBs Sen 54
481056226_945963660987957_9083353054605095666_n.jpg,02_cricket_player_profiles_and_awards,ocr,Matched player-profile or cricket award keywords.,BLOOMFIELD CRICKETCLUB (@) Bloomfield Young Talent of the Year OVERS . . % / W. MATCHES WICKETS ECONOMY AVERAGE E a € Z ae MAIDENS ALAN Ay =a
481072928_945963547654635_2696790395161778413_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,"BLOOMFIELD ALL STARS es MCA Recreational League - 2024 -, ANURADHA 27 KARIYAWASAM EE eh MATCHES RUNS __ AVERAGE SR _HIGHSCORE_ 7 pow SM 6s = | =a CNG BEST % a & C} e"
481074498_945963747654615_2150422129946257361_n.jpg,02_cricket_player_profiles_and_awards,ocr,Manual visual override after contact-sheet review.,"Q Ms, ee A Be F ; i ra) / wer! Lf re 2S mS AD gee ey Ss | he: a = Ase el. SEN) Qe i eu LS ANY oa jim) i Sirol prs i : ie Ne Hg Se OE AS Ste h "" ie Le oon lie N= 3 Mi ‘are se qe wha] aR ake USSSA ha y it fe it ; ee Rey) ="
481075220_945963687654621_3178364340122062970_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,"Best Bowler of the Year 2024 - Bloomfield Knights - Buddhi Rasathmaka  (Chinthaka accepted the award on behalf of Buddhi, who was out of the country.) #MCADivision2League2024"
481077870_945963837654606_1680149269648962159_n.jpg,02_cricket_player_profiles_and_awards,ocr,Matched player-profile or cricket award keywords.,BLOOMFIELD CC G) Nene Best Batsman MCA League Premier Division - 2024 (erp \ MATCHES RUNS AVERAGE SR HIGH SCORE Zz ad ) fz Y 50s 6s 4s . aA rs ee me SOOM
481080316_945963887654601_7115136374724507032_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,Best Batsman of the Year 2024 - Bloomfield All Stars - Sachithananthan Ruban  #MCARecreationalLeague2024
481082586_945963734321283_1516454149945327417_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,Best Batsman of the Year 2024 - Bloomfield CC - Hirusha Weerasekara  #MCAPremierDivisionLeague2024
481084841_945963727654617_4889500718768335008_n.jpg,02_cricket_player_profiles_and_awards,ocr,Matched player-profile or cricket award keywords.,"BLOOMFIELD CC G) Vemma Best Bowler MCA League Premier Division - 2024 MATCHES WICKETS ECONOMY AVERAGE OVERS ™ "" j Dy RUNS MAIDENS BEST . ee ee"
481085587_945963604321296_9030021709333682043_n.jpg,02_cricket_player_profiles_and_awards,ocr,Matched player-profile or cricket award keywords.,BLOOMFIELD CRICKETCLUB (@) Emerging Player of the Year ~ 2024 a SANKA SILVA MATCHES RUNS ERASE HIGH SCORE \ uy” (Aun { 6s 4s WICKETS ECONOMY BEST = | iY vty
481086211_943415784576078_4158688983358445916_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏 Victory...! A superb match-winning bowling spell by Chinthaka Wijayasinghe set the stage, and Chalinda Fernando 's calm innings with the lower-order batters sealed the win in a nail-biting finish. Well played, team! 🏆👏"
481115216_943409091243414_3567563038647526228_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,BES eS eaves 4 ‘ x s¢ * ravenna ¥ M es ER € ee a my 4 a Ld RASATHMAKA =| ’ ) BLOOMFIELD KNIGHTS ee nal) 2 uerrHanoear a \ = | i eS VE RIGHT ARM OFF BREAK > ne a ee Serene ali |
481118376_944035727847417_4173343943853571302_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,🏏 Bloomfield Knights' Comeback Victory! 🎉  The Bloomfield Knights made a triumphant comeback in the MCA League Division 2 with a comprehensive victory! 🙌  Kudos to Dilshan Morawaliyadda for playing a valuable anchor role
481141407_944883834429273_6830273337783294837_n.jpg,02_cricket_player_profiles_and_awards,ocr,Matched player-profile or cricket award keywords.,"Marrrows emenarr AmeonA Ten ~~ » i gaa be ad Noe 2024 ® . Mag * BLOOMFIELD CC sa a @ J LEADING MVP we POINTS i""), 2024 season \ { \ 1 HIRUSHA WEERASEKARA 79.4 4) Sen RP: 31.40 | WP: 42|CP:5|RO-P:0|BP:1 _. e | ao bare 2 C"
481162117_944340934483563_2956913843506139317_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🌟 What a performance by Chinthaka Wijayasinghe! His left-arm orthodox spin was on fire, taking 4 crucial wickets for just 19 runs in his 7 overs, including a maiden over. 🔥  It’s great to see our experienced player back"
481163922_945963774321279_8379469811474858397_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,Young Talent of the Year 2024 - Bloomfield CC - Rana Ali  #MCAPremierDivisionLeague2024
481164689_944884091095914_3232981590841436617_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏🌟 A tough end to the season for Bloomfield in the MCA Premier Division, as we fought hard in a must-win game to stay alive. Our bowlers, led by Hirusha, Sanka, Chinthaka, and Ali, put in a solid effort to keep the oppos"
481164850_943420647908925_328762827669117265_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,🎉 Bloomfield All Stars celebrate their first win of the tournament!   Captain Anuradha Kariyawasam led the charge with a stellar start with the bat and an all-round performance that set the tone for victory. 🏅 🌟 Star of
481166693_943417321242591_3882032007302863116_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"Tough start for Bloomfield All-Stars in their first recreational T20 league game, but a stellar batting performance by Shiromal Gunawaardana kept us in the fight 💪🏏 . . . . #MCARecreationalT20 #BloomfieldAllStars"
481178452_943409024576754_6881445005364984599_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,> puaver PROFILE wt - | SHEHAN ai Ae BLOOMFIELD KNIGHTS \ WF ertannear i Fae Ee RIGHT ARM LEG-BREAK | g==== Cry ten rn’
481185822_943409104576746_8144874197020608942_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,"© © ouvert “4 . 4s, »”™ ‘e-> i . ‘ ‘ip ane > ISHARA + q 2a =. LEKAMGE . \) se ~ 4 BLOOMFIELD KNIGHTS as LEFT-HAND BAT A ea ee ae . i -Ya\"" = - * ” >"
481187333_944883984429258_6484961654000477319_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,"🏅🌟 Star Performer Alert! Hirusha Weerasekara shines once again with an impressive all-round performance! 🎯🔥 He delivered a solid spell of 2 for 26 in his 3 overs and smashed a quick 41 runs, including 4 fours and 2 sixes"
481190622_943409371243386_5080574663562599813_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,=) NILESH | NARENDRAN \ ay BLOOMFIELD KNIGHTS - SN =
481193339_943422934575363_2549050476313452734_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,Three in a row! 🌟 Bloomfield secures another victory in the premier division with a fantastic all-round performance by Hirusha Weerasekara with both bat and ball! 🎯🏅 Kudos to Suren Tharanga Darshana for his wonderful and
481195780_943412754576381_8244014194470014408_n.jpg,04_social_entertainment_low_priority,caption,Matched social/entertainment keywords.,"SAVE THE DATE FOLKS! Bloomfield is proud to present BNS live in concert, with Falan Andrea and the Lunu Dehi band. November 8th 2024, at Jubilee Place.  Mark your calendars for this special and rare event. Stay tuned for"
481202863_943409114576745_3712865623948067712_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,a | THULAS RAM ' ) yi BLOOMFIELD KNIGHTS a lee RIGHT-HAND BAT G) Vie RIGHT ARM OFF SPIN ew 2024
481203224_944340841150239_7638588098255546849_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏 Tough day at the office for Bloomfield in MCA Premier Division Match 10. It was a close encounter, but we fell just short against Blues 2.  👏 Hats off to our left-arm spinners, Chinthaka and Sanka, who bowled brilliant"
481205678_943408997910090_798018401543786854_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,whl PASHMA 7) =) NANAVAKKARA ee BLOOMFIELD KNIGHTS
481213969_944332584484398_6021264066368316922_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🌟 Tough day at the office for Bloomfield in Match 8 of the MCA Premier Division. We faced our first loss of the season in a forgettable match, but we'll bounce back stronger. 💪  Shoutout to Sanka Silva for playing an anc"
481243718_943425984575058_4313819044189934134_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"Tough luck for Bloomfield Knights with a tight 13-run loss. Thulasi and Ishara Lekamge fought hard until the end, but we fell short. The win is coming soon. Great fight by the team! 💪  . . . . #MCALeague2024 #Division2 #"
481243775_944329557818034_7698006138741584900_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"Match Summary: MCA Recreational T20 League - Match 11  Tough contest for Bloomfield All Stars, ending in a narrow loss against Gladiators. Despite Ruban's brilliant knock of 49 off 30 balls, narrowly missing out on a wel"
481244739_944324991151824_2936947665613522991_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"Match Summary - MCA League Division 2, Match 9 🏏  Despite a valiant effort by our bowlers, restricting Blues 4 to under 6 runs per over, Bloomfield Knights faced an unfortunate loss. Ralston and Thuasi showed resilience"
481251875_944332457817744_5899362894624457315_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🌟 Match 10 Recap for Bloomfield Knights in MCA Division 2 🌟  A brilliant century stand for the 4th wicket by Ishara and Thulasi set us up with a strong total after batting first. However, despite their efforts, we couldn"
481256915_944340861150237_2975004972117888023_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"🏏 Bloomfield Knights finish the season on a high with a solid win in MCA Division 2 Match 12!  💥 Captain Shehan’s quickfire start set the tone, with Ishara, Thulasi, and Anuradha building on it to post a strong total.  🔥"
481258471_943409211243402_4590072854831896727_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,+ z pLAVER PROFILE “—— ee! RANA (ee-gh) G ~ BLOOMFIELD CC [Se ‘ Wy SSMS | e \ “© RIGHT-HAND BAT
481258814_944884014429255_1155345083466412147_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,"🌟🏏 Star Performer of the Match for the 7th time this season! Hirusha Weerasekara has truly been the hero of the season, delivering yet another magical left-arm spell. 🎯🔥 This time, he took 3 crucial wickets for just 34 r"
481259319_943409001243423_2878887679090551665_n.jpg,02_cricket_player_profiles_and_awards,ocr,Matched player-profile or cricket award keywords.,"PLAYER PROFILE i,  “a7. i KRISHANTHA eatee = CHAMARA — BLOOMFIELD ce  { Ve | (7 RIGHT-HAND BAT  ee | We  ya __ = We, 2024 PLUONIRIELD iad ~"
481259645_943409087910081_3359871201132951078_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,< a HIRUSHA -} WEERASEKARA j . BLOOMFIELD CC =e ) eevuano eat 5 ki 00m. is s fenaie
481282910_943249051259418_1344787633675153667_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,"WAKM-UF Egan MALO MAY — cooo00o  At Labarriere 17:00  Park 2 : BLOOMFIELD BLOOMFIELD KNIGHTS ALL STARS — om ra vy rr’ — ey, , ©  \ > ee ~  ~  i a ale"
481284454_943411567909833_4698236678941790276_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"Hard luck with the result, but a special shoutout to Shan Jayamaha for his stellar performance with the bat! 💪🏽🔥"
481288385_945963597654630_3224069135222156707_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,BLOOMFIELD KNIGHTS es MCA League Division 2 - 2024 a fa=\- a SHEHAN ius SENARATH wate. MATCHES RUNS AVERAGE SR HIGH SCORE J =a): ( a 6s as WICKETS ECONOMY BEST Ga 2 MJ Ne
481289811_945963557654634_2094219476077933530_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,BLOOMFIELD KNIGHTS es Ld MCA League Division 2 - 2024 a. . ISHARA ee = peaks. ‘MATCHES RUNS AVERAGE SR__HIGHSCORE yi
481290311_945963674321289_741355537389257086_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,Most Valuable Player of the Year 2024 - Bloomfield All Stars - Anuradha Kariyawasam  #MCARecreationalLeague2024
481291420_943409351243388_4794502097042411966_n.jpg,02_cricket_player_profiles_and_awards,ocr,Matched player-profile or cricket award keywords.,". = 4 PLAYER PROFILE on =) DEZILVA Ses , BLOOMFIELD KNIGHTS if y (7, AIGHT-HAND BAT “RoYD = — oe"
481297776_944884031095920_367319368433263818_n.jpg,02_cricket_player_profiles_and_awards,ocr,Manual visual override after contact-sheet review.,"eS = ¥ al ss. “_ ~ mrorene Canoe i | on 2024 , - Mag .. 2024 season ws f ‘ HA WEERASEKARA ; BIRUSEA WEERASERARAY _. 314 ‘ Mike. a... Y. Ef (x CHALINDA FERNANDO RC 2 Inn: 12 | Avg : 26 | SR:66|HS:39|50s:0| 45:14] 6s:2 209"
481298186_944025827848407_4475213310597811288_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"""🌟 Despite the result, Shiromal Gunawardane's all-round brilliance shone bright for Bloomfield Knights! His 4 wickets and quickfire 24 runs showcased true cricketing spirit. Onwards and upwards, team! 🏏💫"
481301028_944032411181082_5713640151248516389_n.jpg,01_cricket_matches_and_action,caption,Matched match/game/action cricket keywords.,"Another tough day for Bloomfield Knights as our batting order struggled. But let's not get discouraged! Let's learn from our mistakes and come back stronger. Keep your heads up, team! Let's play good cricket and aim for"
481316724_943425914575065_6013785861398061695_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,"The star performer of today's match: Ishara Lekamge! Another brilliant day with the bat, showcasing his great form. Fought till the end with a wonderful knock. Keep shining! 🌟🏏"
481335052_943405257910464_2758280934346349451_n.jpg,01_cricket_matches_and_action,ocr,Matched match/game/action cricket keywords.,PROVINCIAL CEA@Le SHER E MAPLES STEELERS MGA LABARRIERE PARK 2 (WPG) | 6:00 PM 2024 COSMOS SPARTANS LABARRIERE PARK 2 (WPG) | 6:00 PM | / TRAVERNERS (WPG) PM \Y = * ie WINNIPEG RAIDERS Ne ome e : * @ ‘LIONS t—t oncket an
481357125_944324881151835_5049122018912045789_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,"🌟 Star Performer of the Match: Pashma Nanayakkara 🌟  Pashma showcased his all-round brilliance with a standout performance! He delivered a crucial spell, taking 2 important wickets with his golden arm. His game-changing"
481447817_944339464483710_990215123213611829_n.jpg,02_cricket_player_profiles_and_awards,caption,Matched player-profile or cricket award keywords.,"Star Performer: Hirusha Weerasekara Shines Again! 🌟  For the 4th consecutive time, Hirusha Weerasekara has showcased his incredible form with both bat and ball! Scoring a crucial 44 runs and delivering 7 economical overs"
